Error,Storage,AvgRank,Time
1.43345459946431e-08,234096,10.7554283053693,2.3039134
4.62168170570765e-05,287272,11.948588776181,13.33594785
1.41196778713493e-08,820196,139.539719554446,0.4972918
41.8758355812582,16664,19.2774232619157,1.1141634
1.18683374239481e-09,70494,40.2651923413476,0.0829791
41.9210241027566,12370,16.4128288963528,0.8949377
2.94334001615937e-11,68312,7.30266950033353,0.88405815
1.40815692439844e-11,96596,8.6850159782677,3.0142872
9.76185798862161e-12,142892,58.1320336246147,0.1890598
6.12116793309195,16268,19.2774232619157,0.7856127
5.11984066253746e-11,20550,21.5969574576738,0.0372253
6.09293685753319,7724,12.9688270938615,0.45985575
5.98738836288248e-11,43414,7.83399470347283,0.551635
9.73869873632793e-11,59700,9.25192868176623,2.38034875
1.9802826045634e-11,28887,26.1096588586348,0.0810206
4.47582592312224e-06,15755,19.192012227313,0.67831715
1.81792358944222e-11,4875,10.4880884817015,0.01953915
4.74381383570996e-08,5339,11.0021642892487,0.3536973
4.35352376371156e-09,10992,8.28813461964946,1.24840165
1.11291456050822e-08,14744,9.59897152342078,0.39017645
4.29781721322797e-09,8676,14.3659650695995,0.57463185
0.000153149520798479,8808,14.4716471567189,0.50324295
3.0925093597034e-09,4182,9.9689995677075,0.1630852
3.89468937100901e-08,5320,11.2461633669528,0.36642925
